coinId,dailyVolatility,annualVolatility,demand,Clusters,Distance
oasis-network,0.4314033918645758,6.8483165377404775,5371121252.055178,0,7693244916.353285
unus-sed-leo,1.5936050871586278,25.297696492014847,5887693786.539837,0,8062382500.312205
uniswap,3.980918027521336,63.19511454333144,6055777769.860549,0,8185934117.726766
avalanche,7.318535614828792,116.17815118803706,6772000849.847645,0,8729093175.20653
chiliz,0.4659172399547368,7.396206890747042,7072831426.490239,0,8964486467.901735
gala,0.3845795503183753,6.105011096780833,7346154648.967257,0,9181669853.143509
the-graph,0.7431720893928511,11.797491179146482,7645192483.739493,0,9422634510.217512
algorand,0.834603361051673,13.248917620328267,9019938896.524595,0,10568650349.335999
terra-luna,4.70725449126115,74.72534845061323,9201270092.061205,0,10723825953.304901
nem,0.4146991262484247,6.58314454181466,9411723094.101906,0,10904934848.398205
polkadot,5.030195658851836,79.85188055591195,9619833453.768547,0,11085047011.496893
ankr,0.2600919452795375,4.128831631324058,10039017771.195389,0,11450718321.082514
ravencoin,0.2245811689602861,3.5651155333025724,10784484559.034384,0,12109590381.656034
xinfin-network,0.163724151375324,2.599040328925206,12674441616.643652,0,13819498603.77795
solana,8.210993697393224,130.34548404012727,13119247990.2405,0,14228553603.049944
zilliqa,0.2258069743144342,3.5845745900396566,13686956394.609505,0,14753638410.707787
multi-collateral-dai,1.0017592606459162,15.902435263350169,14120765901.664667,0,15156948913.62519
polygon,0.9762332543838776,15.497222476145978,14443353094.375969,0,15457927390.909481
hedera-hashgraph,0.4179181469115371,6.634244910653301,15837222490.785872,0,16767667889.520468
stellar,0.4052410628258788,6.433002439612663,28030753490.12735,0,28566767532.40947
crypto-com-coin,0.4742092307476858,7.527838163817725,28442831837.13021,0,28971222769.97453
binance-usd,1.0004331782068827,15.881384357240252,37659359871.93076,0,38060011147.71751
binance-coin,11.13084739618872,176.69672455035715,48005639092.499535,0,48320579900.69511
cardano,0.6986137490108226,11.090149454238798,49375578405.40544,0,49681835729.773384
xrp,0.6545245165480746,10.390254586685916,60851779685.91385,0,61100541287.32109
shiba-inu,0.0045404457044745,0.0720773410525863,549070566970770.4,1,776503042509948.1
ecash,0.0092933218237609,0.147526910396165,19148030069166.39,2,27079403816542.734
vechain,0.5363824495264409,8.514807414399705,74415483315.93971,3,144305235810.89407
tron,0.2114441872901448,3.356572414439325,98449087640.26744,3,158046068539.02945
usd-coin,1.0013542210260271,15.896005458718042,104934976808.23672,3,162165613732.51562
tether,1.0014573884678215,15.897643191084365,135178929496.2906,3,183193012681.50885
dogecoin,0.2146589605939987,3.4076053585400063,141903191375.9204,3,188209597631.07028
holo,0.0563578895896567,0.8946537616240067,173724810689.63812,3,213229094551.87292
ethereum,29.09584835543889,461.88227359763374,199645155183.157,3,234828713714.9235
bitcoin,98.0617915380424,1556.6826811627093,407392332187.7551,4,576139759185.2466
